,track_title,album_title,artist_name
0,Provócame,Grandes Exitos,Chayanne
1,Dejaría Todo,Grandes Exitos,Chayanne
2,Baila Baila,Grandes Exitos,Chayanne
3,Tal Vez Es Amor (Talvez Seja Amor),Grandes Exitos,Chayanne
4,Candela,Grandes Exitos,Chayanne
5,Simplemente,Simplemente,Chayanne
6,Las Horas Pasan,Simplemente,Chayanne
7,Candela,Simplemente,Chayanne
8,Yo Te Amo,Simplemente,Chayanne
9,Hasta Que El Alma Resista,Simplemente,Chayanne
10,Ay Mama,Simplemente,Chayanne
11,Cuando Un Amor Se Va,Simplemente,Chayanne
12,Oye Mar (Cançao Do Mar),Simplemente,Chayanne
13,Mariana Mambo,Simplemente,Chayanne
14,Quien Puso Más,Simplemente,Chayanne
15,Mi Cafetal,Simplemente,Chayanne
16,Te Necesito (Aprender A Amar),Simplemente,Chayanne
17,Vivo (Alive),Simplemente,Chayanne
18,Boom Boom,Simplemente,Chayanne
19,Dame (with Chayanne),Simplemente,Chayanne
20,Dejaría Todo,Atado a Tu Amor,Chayanne
21,Soy Como un Niño (Looking Through The Eyes Of A Child),Atado a Tu Amor,Chayanne
22,Enamorado (A Namorada),Atado a Tu Amor,Chayanne
23,Atado a Tu Amor,Atado a Tu Amor,Chayanne
24,Mira Ven Ven,Atado a Tu Amor,Chayanne
25,Otra Vez,Atado a Tu Amor,Chayanne
26,Refugio De Amor (You Are My Home),Atado a Tu Amor,Chayanne
27,Salomé,Atado a Tu Amor,Chayanne
28,Pienso en Ti,Atado a Tu Amor,Chayanne
29,Nadie Como Tú,Atado a Tu Amor,Chayanne
30,Vaya Escandalera,Atado a Tu Amor,Chayanne
31,Sube Al Desván,Atado a Tu Amor,Chayanne
32,La Playa (La Plage),Atado a Tu Amor,Chayanne
33,Solo Traigo Mi Ritmo,Volver A Nacer,Chayanne
34,Solamente Tu Amor,Volver A Nacer,Chayanne
35,Pequeña Flor (Petite Fleur),Volver A Nacer,Chayanne
36,Volver a Nacer,Volver A Nacer,Chayanne
37,Voy A Enseñarte,Volver A Nacer,Chayanne
38,Tal Vez Es Amor (Talvez Seja Amor),Volver A Nacer,Chayanne
39,Baila Baila,Volver A Nacer,Chayanne
40,Sólo Pienso en Ti,Volver A Nacer,Chayanne
41,Ramito De Flores,Volver A Nacer,Chayanne
42,Entre Mis Recuerdos,Volver A Nacer,Chayanne
43,Guajira,Volver A Nacer,Chayanne
44,Completamente Enamorados,Tiempo De Vals,Chayanne
45,Daría Cualquier Cosa,Tiempo De Vals,Chayanne
46,Simon Sez (Album Version),Tiempo De Vals,Chayanne
47,"Soleil, Soleil (Album Version)",Tiempo De Vals,Chayanne
48,Tiempo De Vals,Tiempo De Vals,Chayanne
49,Dónde Vas (Riso E Dor) (Album Version),Tiempo De Vals,Chayanne
50,La Fuerza De Amar (A Forca Do Amor) (Album Version),Tiempo De Vals,Chayanne
51,Sueño Perdido (Luz Da Manha) (Album Version),Tiempo De Vals,Chayanne
52,No Pensar en Ti (Album Version),Tiempo De Vals,Chayanne
53,Tu Pirata Soy Yo,Chayanne,Chayanne
54,Dile a Todo el Mundo No,Chayanne,Chayanne
55,Fuiste un Trozo de Hielo en la Escarcha,Chayanne,Chayanne
56,Pata-Pata (feat. Miriam Makeba),Chayanne,Chayanne
57,Palo Bonito,Chayanne,Chayanne
58,Este Ritmo Se Baila Así,Chayanne,Chayanne
59,Marinero,Chayanne,Chayanne
60,Fantasias,Chayanne,Chayanne
61,Tengo Esperanza (Gritos de Guerra),Chayanne,Chayanne
62,Conquistador,Chayanne,Chayanne
63,Fiesta En América,Chayanne,Chayanne
64,Digo No,Chayanne,Chayanne
65,Para Tenerte Otra Vez,Chayanne,Chayanne
66,Peligro De Amor (Album Version),Chayanne,Chayanne
67,Tú Y Yo (Album Version),Chayanne,Chayanne
68,Violeta,Chayanne,Chayanne
69,Quién Soy Yo,Chayanne,Chayanne
70,Te Deseo,Chayanne,Chayanne
71,Emociones Cuántas Emociones,Chayanne,Chayanne
72,Esperanza,Chayanne,Chayanne
73,Sangre Latina,Sangre Latina,Chayanne
74,Amo a una Estrella,Sangre Latina,Chayanne
75,Vuelve,Sangre Latina,Chayanne
76,Qué Será?,Sangre Latina,Chayanne
77,Unica,Sangre Latina,Chayanne
78,Una Foto para Dos,Sangre Latina,Chayanne
79,Jana,Sangre Latina,Chayanne
80,Voy,Sangre Latina,Chayanne
81,Latin Lover,Sangre Latina,Chayanne
82,Chayanne Es Mi Nombre,Es Mi Nombre,Chayanne
83,De Dos en Dos,Es Mi Nombre,Chayanne
84,Chinatown,Es Mi Nombre,Chayanne
85,Sexy,Es Mi Nombre,Chayanne
86,Un Nuevo Juego,Es Mi Nombre,Chayanne
87,Loco,Es Mi Nombre,Chayanne
88,Chicos Malos,Es Mi Nombre,Chayanne
89,Una Marciana en la Avenida,Es Mi Nombre,Chayanne
90,Dime Donde Voy,Es Mi Nombre,Chayanne
91,Estar a Tu Lado,Es Mi Nombre,Chayanne
92,Y Que Culpa Tengo Yo?,Es Mi Nombre,Chayanne
93,Y Tú Te Vas (Latin Pop Mix Radio Edit),Y Tu Te Vas,Chayanne
94,Y Tú Te Vas (Dance Mix Radio Edit),Y Tu Te Vas,Chayanne
95,Y Tú Te Vas (Dance Mix Extended Version),Y Tu Te Vas,Chayanne
96,Y Tú Te Vas,Y Tu Te Vas,Chayanne
97,UN SIGLO SIN TI,UN SIGLO SIN TI,Chayanne
98,Bailando Bachata,Bailando Bachata,Chayanne
99,Como Tú y Yo,Como Tú y Yo,Chayanne
100,Todo Sol (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
101,Ilusão De Ótica (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
102,A Nossa Praia (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
103,Quarta Cadeira (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
104,Cronômetro (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
105,Que Sorte A Nossa (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
106,Nessas Horas (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
107,Decide Aí (Na Praia / Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
108,O Nosso Santo Bateu (Live),Matheus & Kauan Especial Praiou,Matheus & Kauan
109,Te Assumi Pro Brasil (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
110,Próximo Amor (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
111,A Chance É Grande (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
112,A Rosa E O Beija-Flor (Na Praia / Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
113,Ser Humano Ou Anjo (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
114,Me Amar Amanhã (Na Praia / Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
115,Antídoto (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
116,Expectativa x Realidade,Matheus & Kauan Especial Praiou,Matheus & Kauan
117,Investimento,Matheus & Kauan Especial Praiou,Matheus & Kauan
118,Nem Doeu (Ao Vivo),Matheus & Kauan Especial Praiou,Matheus & Kauan
119,Te Amo À Beça (Live),Matheus & Kauan Especial Praiou,Matheus & Kauan
120,Ilusão De Ótica (Ao Vivo),Se chorar me der marcas de expressão…,Matheus & Kauan
