,track_title,album_title,artist_name
0,ROTTERDAM (feat. Faroon),SCORPION TO SOCIETY,Summer Cem
1,GATLING,SCORPION TO SOCIETY,Summer Cem
2,FRIENDSHIPS,SCORPION TO SOCIETY,Summer Cem
3,GANG (feat. BILLA JOE & KOZIKOZA),SCORPION TO SOCIETY,Summer Cem
4,WAKE UP INTRO,FNFZHN,Summer Cem
5,LEVEL 100,FNFZHN,Summer Cem
6,SHOTS,FNFZHN,Summer Cem
7,BAD BITCH,FNFZHN,Summer Cem
8,HOLY SKIT,FNFZHN,Summer Cem
9,EMOTIONZ,FNFZHN,Summer Cem
10,BLESSED,FNFZHN,Summer Cem
11,MAXIMUM FLY,FNFZHN,Summer Cem
12,OH SKIT,FNFZHN,Summer Cem
13,MACHER,FNFZHN,Summer Cem
14,PLATIN,FNFZHN,Summer Cem
15,BEST LIFE,FNFZHN,Summer Cem
16,OUTRO,FNFZHN,Summer Cem
17,GEHT NICH GIBS NICH,Maximum III,Summer Cem
18,PUSH,Maximum III,Summer Cem
19,RUBBERBANDS,Maximum III,Summer Cem
20,IRON MAN,Maximum III,Summer Cem
21,ANANI BACINI,Maximum III,Summer Cem
22,VALLA NEIN (feat. Luciano),Maximum III,Summer Cem
23,WOW,Maximum III,Summer Cem
24,EINE NACHT,Maximum III,Summer Cem
25,IN 'N' OUT,Maximum III,Summer Cem
26,QN,Maximum III,Summer Cem
27,GIGI,Maximum III,Summer Cem
28,FLY,Maximum III,Summer Cem
29,HALL OF FAME,Maximum III,Summer Cem
30,BITCH SALUTE (feat. Gentleman),Maximum III,Summer Cem
31,GEHT NICH GIBS NICH,Maximum III++,Summer Cem
32,PUSH,Maximum III++,Summer Cem
33,RUBBERBANDS,Maximum III++,Summer Cem
34,IRON MAN,Maximum III++,Summer Cem
35,ANANI BACINI,Maximum III++,Summer Cem
36,VALLA NEIN (feat. Luciano),Maximum III++,Summer Cem
37,WOW,Maximum III++,Summer Cem
38,EINE NACHT,Maximum III++,Summer Cem
39,IN 'N' OUT,Maximum III++,Summer Cem
40,QN,Maximum III++,Summer Cem
41,GIGI,Maximum III++,Summer Cem
42,FLY,Maximum III++,Summer Cem
43,HALL OF FAME,Maximum III++,Summer Cem
44,BITCH SALUTE (feat. Gentleman),Maximum III++,Summer Cem
45,AMCAOĞLE (feat. Capital Bra),Maximum III++,Summer Cem
46,PRIVATE,Maximum III++,Summer Cem
47,2 SIKI G's,Maximum III++,Summer Cem
48,GEH DEIN WEG (feat. Loredana),Maximum III++,Summer Cem
49,PROST BABA,Maximum III++,Summer Cem
50,DOWN,Maximum III++,Summer Cem
51,Ghost,Nur Noch Nice / Nur Noch So,Summer Cem
52,Rollerblades (feat. KC Rebell),Nur Noch Nice / Nur Noch So,Summer Cem
53,Fatality (feat. Haftbefehl),Nur Noch Nice / Nur Noch So,Summer Cem
54,Donatella (feat. Farid Bang),Nur Noch Nice / Nur Noch So,Summer Cem
55,Summer Cem (feat. Luciano),Nur Noch Nice / Nur Noch So,Summer Cem
