,track_title,album_title,artist_name
0,1m2,Un metro cuadrado,Jarabe De Palo
1,Romeo y Julieta,Un metro cuadrado,Jarabe De Palo
2,Dicen,Un metro cuadrado,Jarabe De Palo
3,Mi diario personal,Un metro cuadrado,Jarabe De Palo
4,"Qué bueno, qué bueno (feat. Jorge Drexler)",Un metro cuadrado,Jarabe De Palo
5,El café de la morena,Un metro cuadrado,Jarabe De Palo
6,"Menos que un amor, más que un amigo",Un metro cuadrado,Jarabe De Palo
7,Escriban más canciones (feat. Lucrecia),Un metro cuadrado,Jarabe De Palo
8,Entre las barcas,Un metro cuadrado,Jarabe De Palo
9,Sale a escena,Un metro cuadrado,Jarabe De Palo
10,Cry (feat. Chrissie Hynde),Un metro cuadrado,Jarabe De Palo
11,El extranjero,Lucha Rock,Jarabe De Palo
12,Sácame de aquí,Lucha Rock,Jarabe De Palo
13,Lady Blue,Lucha Rock,Jarabe De Palo
14,Alicia (Expulsada al País de las Maravillas),Lucha Rock,Jarabe De Palo
15,Infinito,Lucha Rock,Jarabe De Palo
16,Planeta Sur (1997 Remaster),Lucha Rock,Jarabe De Palo
17,La flaca,Lucha Rock,Jarabe De Palo
18,Grita,Lucha Rock,Jarabe De Palo
19,Depende,Lucha Rock,Jarabe De Palo
20,Dos días en la vida,Lucha Rock,Jarabe De Palo
21,Agua,Lucha Rock,Jarabe De Palo
22,El bosque de palo,Lucha Rock,Jarabe De Palo
23,Perro apaleao,Grandes Exitos?,Jarabe De Palo
24,El lunar de María (feat. Jarabe de Palo),Grandes Exitos?,Jarabe De Palo
25,Agustito con la vida,Grandes Exitos?,Jarabe De Palo
26,De vuelta y vuelta,Grandes Exitos?,Jarabe De Palo
27,Dos días en la vida,Grandes Exitos?,Jarabe De Palo
28,Completo incompleto,Grandes Exitos?,Jarabe De Palo
29,Grita,Grandes Exitos?,Jarabe De Palo
30,Duerme conmigo,Grandes Exitos?,Jarabe De Palo
31,Agua,Grandes Exitos?,Jarabe De Palo
32,Depende,Grandes Exitos?,Jarabe De Palo
33,El lado oscuro,Grandes Exitos?,Jarabe De Palo
34,El bosque de palo,Grandes Exitos?,Jarabe De Palo
35,Tiempo,Grandes Exitos?,Jarabe De Palo
36,A lo loco (con Celia Cruz),Grandes Exitos?,Jarabe De Palo
37,Pura sangre,Grandes Exitos?,Jarabe De Palo
38,La flaca,Grandes Exitos?,Jarabe De Palo
39,En lo puro no hay futuro,Grandes Exitos?,Jarabe De Palo
40,De vuelta y vuelta,De Vuelta Y Vuelta,Jarabe De Palo
41,Tiempo,De Vuelta Y Vuelta,Jarabe De Palo
42,En lo puro no hay futuro,De Vuelta Y Vuelta,Jarabe De Palo
43,Dos días en la vida,De Vuelta Y Vuelta,Jarabe De Palo
44,La luz de tu corazón,De Vuelta Y Vuelta,Jarabe De Palo
45,Completo incompleto,De Vuelta Y Vuelta,Jarabe De Palo
46,Cara de azul,De Vuelta Y Vuelta,Jarabe De Palo
47,Agustito con la vida,De Vuelta Y Vuelta,Jarabe De Palo
48,De los libros (No se aprende),De Vuelta Y Vuelta,Jarabe De Palo
49,Viaje para locos,De Vuelta Y Vuelta,Jarabe De Palo
50,Mamá,De Vuelta Y Vuelta,Jarabe De Palo
51,Depende,Depende,Jarabe De Palo
52,Pura sangre,Depende,Jarabe De Palo
53,Te miro y tiemblo (feat. Ketama),Depende,Jarabe De Palo
54,La plaza de las palmeras,Depende,Jarabe De Palo
55,Realidad o sueño,Depende,Jarabe De Palo
56,Agua,Depende,Jarabe De Palo
57,Perro apaleao,Depende,Jarabe De Palo
58,Vivo en un saco,Depende,Jarabe De Palo
59,Toca mi canción,Depende,Jarabe De Palo
60,Duerme conmigo,Depende,Jarabe De Palo
61,Vive y deja vivir,Depende,Jarabe De Palo
62,Mi mundo en tu mano,Depende,Jarabe De Palo
63,Adiós,Depende,Jarabe De Palo
64,A lo loco (feat. Celia Cruz),Depende,Jarabe De Palo
78,Quiero ser poeta,La Flaca - Edición 10º Aniversario,Jarabe De Palo
79,Vuela,La Flaca - Edición 10º Aniversario,Jarabe De Palo
80,No suelo compararme,La Flaca - Edición 10º Aniversario,Jarabe De Palo
81,La flaca,La Flaca - Edición 10º Aniversario,Jarabe De Palo
82,Grita,La Flaca - Edición 10º Aniversario,Jarabe De Palo
83,El bosque de palo,La Flaca - Edición 10º Aniversario,Jarabe De Palo
84,El lado oscuro,La Flaca - Edición 10º Aniversario,Jarabe De Palo
85,Quítame la vida,La Flaca - Edición 10º Aniversario,Jarabe De Palo
86,Dueño de mi silencio,La Flaca - Edición 10º Aniversario,Jarabe De Palo
87,La canción del desamor,La Flaca - Edición 10º Aniversario,Jarabe De Palo
88,La Flaca (Acousique),La Flaca - Edición 10º Aniversario,Jarabe De Palo
89,Quiero ser poeta,La Flaca,Jarabe De Palo
90,Vuela,La Flaca,Jarabe De Palo
91,No suelo compararme,La Flaca,Jarabe De Palo
92,La flaca,La Flaca,Jarabe De Palo
93,Grita,La Flaca,Jarabe De Palo
94,El bosque de palo,La Flaca,Jarabe De Palo
95,El lado oscuro,La Flaca,Jarabe De Palo
96,Quítame la vida,La Flaca,Jarabe De Palo
97,Dueño de mi silencio,La Flaca,Jarabe De Palo
98,La canción del desamor,La Flaca,Jarabe De Palo
99,La Flaca (Acousique),La Flaca,Jarabe De Palo
100,La flaca,Imprescindibles,Jarabe De Palo
101,Agua,Imprescindibles,Jarabe De Palo
102,Bonito,Imprescindibles,Jarabe De Palo
103,Grita,Imprescindibles,Jarabe De Palo
104,Depende,Imprescindibles,Jarabe De Palo
105,"Ni Yo para Ti, Ni Tú para Mí","Ni Yo para Ti, Ni Tú para Mí",Jarabe De Palo
106,Nothing Changes,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
107,I'd Do Anything,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
108,Grow Up,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
109,Crash and Burn,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
110,When I'm with You,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
111,Jump,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
112,My Alien,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
113,One Day,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
114,The Worst Day Ever,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
115,I Won't Be There,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
116,God Must Hate Me,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
117,I'm Just a Kid,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
118,You Don't Mean Anything,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
119,Holding On,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
120,Me Against the World,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
121,Addicted,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
122,Perfect,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
123,Welcome to My Life,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
124,Perfect World,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
125,Shut Up!,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
126,One,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
127,Crazy,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
128,Save You,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
129,When I'm Gone,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
130,Astronaut,The Kids In The Crowd - Music From The Documentary Soundtrack,Simple Plan
131,Wake Me Up (When This Nightmare’s Over),Harder Than It Looks,Simple Plan
132,Ruin My Life (feat. Deryck Whibley),Harder Than It Looks,Simple Plan
133,The Antidote,Harder Than It Looks,Simple Plan
134,Million Pictures of You,Harder Than It Looks,Simple Plan
135,Anxiety,Harder Than It Looks,Simple Plan
136,Congratulations,Harder Than It Looks,Simple Plan
137,Iconic,Harder Than It Looks,Simple Plan
138,Best Day of My Life,Harder Than It Looks,Simple Plan
139,Slow Motion,Harder Than It Looks,Simple Plan
140,Two,Harder Than It Looks,Simple Plan
141,Opinion Overload,Taking One for the Team,Simple Plan
142,Boom!,Taking One for the Team,Simple Plan
143,Kiss Me Like Nobody's Watching,Taking One for the Team,Simple Plan
144,Farewell (feat. Jordan Pundik),Taking One for the Team,Simple Plan
145,Singing in the Rain (feat. R. City),Taking One for the Team,Simple Plan
146,Everything Sucks,Taking One for the Team,Simple Plan
147,I Refuse,Taking One for the Team,Simple Plan
148,I Don't Wanna Go to Bed (feat. Nelly),Taking One for the Team,Simple Plan
149,Nostalgic,Taking One for the Team,Simple Plan
150,Perfectly Perfect,Taking One for the Team,Simple Plan
151,I Don't Wanna Be Sad,Taking One for the Team,Simple Plan
152,P.S. I Hate You,Taking One for the Team,Simple Plan
153,Problem Child,Taking One for the Team,Simple Plan
154,I Dream About You (feat. Juliet Simms),Taking One for the Team,Simple Plan
155,I Don't Wanna Go to Bed (Avec Nelly) (Version Française),Taking One for the Team,Simple Plan
156,You Suck at Love,Get Your Heart On!,Simple Plan
157,Can't Keep My Hands off You (feat. Rivers Cuomo),Get Your Heart On!,Simple Plan
158,Jet Lag (feat. Natasha Bedingfield),Get Your Heart On!,Simple Plan
159,Astronaut,Get Your Heart On!,Simple Plan
160,Loser of the Year,Get Your Heart On!,Simple Plan
161,Anywhere Else but Here,Get Your Heart On!,Simple Plan
162,Freaking Me Out (feat. Alex Gaskarth),Get Your Heart On!,Simple Plan
163,Summer Paradise (feat. K'naan),Get Your Heart On!,Simple Plan
164,Gone Too Soon,Get Your Heart On!,Simple Plan
165,Last One Standing,Get Your Heart On!,Simple Plan
166,This Song Saved My Life,Get Your Heart On!,Simple Plan
169,Jet Lag (feat. Kelly Cha),Get Your Heart On!,Simple Plan
174,Summer Paradise (feat. Sean Paul) (Single Version),Get Your Heart On!,Simple Plan
178,Astronaut (Naked Version),Get Your Heart On!,Simple Plan
179,Summer Paradise (Live in Japan),Get Your Heart On!,Simple Plan
180,You Suck at Love (Live from India),Get Your Heart On!,Simple Plan
181,Summer Paradise (feat. Taka from One OK Rock),Get Your Heart On!,Simple Plan
182,You Suck at Love,Get Your Heart On! (Deluxe Edition),Simple Plan
183,Can't Keep My Hands off You (feat. Rivers Cuomo),Get Your Heart On! (Deluxe Edition),Simple Plan
184,Jet Lag (feat. Natasha Bedingfield),Get Your Heart On! (Deluxe Edition),Simple Plan
185,Astronaut,Get Your Heart On! (Deluxe Edition),Simple Plan
186,Loser of the Year,Get Your Heart On! (Deluxe Edition),Simple Plan
187,Anywhere Else but Here,Get Your Heart On! (Deluxe Edition),Simple Plan
188,Freaking Me Out (feat. Alex Gaskarth),Get Your Heart On! (Deluxe Edition),Simple Plan
189,Summer Paradise (feat. K'naan),Get Your Heart On! (Deluxe Edition),Simple Plan
190,Gone Too Soon,Get Your Heart On! (Deluxe Edition),Simple Plan
191,Last One Standing,Get Your Heart On! (Deluxe Edition),Simple Plan
192,This Song Saved My Life,Get Your Heart On! (Deluxe Edition),Simple Plan
193,Jet Lag (feat. Marie-Mai),Get Your Heart On! (Deluxe Edition),Simple Plan
194,Never Should Have Let You Go,Get Your Heart On! (Deluxe Edition),Simple Plan
195,Loser of the Year (Acoustic Version),Get Your Heart On! (Deluxe Edition),Simple Plan
196,Summer Paradise (feat. Sean Paul) (Single Version),Get Your Heart On! (Deluxe Edition),Simple Plan
197,When I'm Gone,Simple Plan,Simple Plan
198,Take My Hand,Simple Plan,Simple Plan
199,The End,Simple Plan,Simple Plan
200,Your Love Is a Lie,Simple Plan,Simple Plan
201,Save You,Simple Plan,Simple Plan
202,Generation,Simple Plan,Simple Plan
