track_title,album_title,artist_name
1m2,Un metro cuadrado,Jarabe De Palo
Romeo y Julieta,Un metro cuadrado,Jarabe De Palo
Dicen,Un metro cuadrado,Jarabe De Palo
Mi diario personal,Un metro cuadrado,Jarabe De Palo
"Qué bueno, qué bueno (feat. Jorge Drexler)",Un metro cuadrado,Jarabe De Palo
El café de la morena,Un metro cuadrado,Jarabe De Palo
"Menos que un amor, más que un amigo",Un metro cuadrado,Jarabe De Palo
Escriban más canciones (feat. Lucrecia),Un metro cuadrado,Jarabe De Palo
Entre las barcas,Un metro cuadrado,Jarabe De Palo
Sale a escena,Un metro cuadrado,Jarabe De Palo
Cry (feat. Chrissie Hynde),Un metro cuadrado,Jarabe De Palo
El extranjero,Lucha Rock,Jarabe De Palo
Sácame de aquí,Lucha Rock,Jarabe De Palo
Lady Blue,Lucha Rock,Jarabe De Palo
Alicia (Expulsada al País de las Maravillas),Lucha Rock,Jarabe De Palo
Infinito,Lucha Rock,Jarabe De Palo
Planeta Sur (1997 Remaster),Lucha Rock,Jarabe De Palo
La flaca,Lucha Rock,Jarabe De Palo
Grita,Lucha Rock,Jarabe De Palo
Depende,Lucha Rock,Jarabe De Palo
Dos días en la vida,Lucha Rock,Jarabe De Palo
Agua,Lucha Rock,Jarabe De Palo
El bosque de palo,Lucha Rock,Jarabe De Palo
Perro apaleao,Grandes Exitos?,Jarabe De Palo
El lunar de María (feat. Jarabe de Palo),Grandes Exitos?,Jarabe De Palo
Agustito con la vida,Grandes Exitos?,Jarabe De Palo
De vuelta y vuelta,Grandes Exitos?,Jarabe De Palo
Dos días en la vida,Grandes Exitos?,Jarabe De Palo
Completo incompleto,Grandes Exitos?,Jarabe De Palo
Grita,Grandes Exitos?,Jarabe De Palo
Duerme conmigo,Grandes Exitos?,Jarabe De Palo
Agua,Grandes Exitos?,Jarabe De Palo
Depende,Grandes Exitos?,Jarabe De Palo
El lado oscuro,Grandes Exitos?,Jarabe De Palo
El bosque de palo,Grandes Exitos?,Jarabe De Palo
Tiempo,Grandes Exitos?,Jarabe De Palo
A lo loco (con Celia Cruz),Grandes Exitos?,Jarabe De Palo
Pura sangre,Grandes Exitos?,Jarabe De Palo
La flaca,Grandes Exitos?,Jarabe De Palo
En lo puro no hay futuro,Grandes Exitos?,Jarabe De Palo
De vuelta y vuelta,De Vuelta Y Vuelta,Jarabe De Palo
Tiempo,De Vuelta Y Vuelta,Jarabe De Palo
En lo puro no hay futuro,De Vuelta Y Vuelta,Jarabe De Palo
Dos días en la vida,De Vuelta Y Vuelta,Jarabe De Palo
La luz de tu corazón,De Vuelta Y Vuelta,Jarabe De Palo
Completo incompleto,De Vuelta Y Vuelta,Jarabe De Palo
