Artists,URI
Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz
Aqua,spotify:artist:6kBjAFKyd0he7LiA5GQ3Gz
Sean Paul,spotify:artist:3Isy6kedDrgPYoTS1dazA9
Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
P!nk,spotify:artist:6gjAbs229sNHhSskJpQ2mG
Diplo,spotify:artist:5fMUXHkw8R8eOP2RNVYEZX
Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4
Jhayco,spotify:artist:6nVcHLIgY5pE2YCl8ubca1
Shreya Ghoshal,spotify:artist:0oOet2f43PA68X5RxKobEy
BTS,spotify:artist:3kYFawNQVZ00FQbgs4rVBe
Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7
Fleetwood Mac,spotify:artist:08GQAI4eElDnROBrJRGE0X
Jung Kook,spotify:artist:6HaGTQPmzraVmaVxvz6EUc
Don Omar,spotify:artist:33ScadVnbm2X8kkUqOkC6Z
Central Cee,spotify:artist:5H4yInM5zmHqpKIoMNAx4r
Anuel AA,spotify:artist:2R21vXR83lH98kGeO99Y66
Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
DJ Snake,spotify:artist:540vIaP2JwjQb9dm3aArA4
Ava Max,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F
Becky G,spotify:artist:4obzFoKoKRHIphyHzJ35G3
Rema,spotify:artist:46pWGuE3dSwY3bMMXGBvVS
The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh
Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
A.R. Rahman,spotify:artist:1mYsTxnqsietFxj1OgoGbG
The Kid LAROI,spotify:artist:2tIP7SsRs7vjIcLrU85W8J
Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB
50 Cent,spotify:artist:3q7HBObVc0L8jNeTe5Gofh
Young Thug,spotify:artist:50co4Is1HCEo8bhOyUWKpn
Coi Leray,spotify:artist:6AMd49uBDJfhf30Ak2QR5s
Demi Lovato,spotify:artist:6S2OmqARrzebs0tKUEyXyp
Alan Walker,spotify:artist:7vk5e3vY1uw9plTHJAMwjN
Pharrell Williams,spotify:artist:2RdwBSPQiwcmiDo9kixcl8
Wiz Khalifa,spotify:artist:137W8MRPWKqSmrBGDBFSop
Lil Baby,spotify:artist:5f7VJjfbwm532GiveGC0ZK
Snoop Dogg,spotify:artist:7hJcb9fa4alzcOq3EaNPoG
Macklemore,spotify:artist:3JhNCzhSMTxs9WLGJJxWOY
Red Hot Chili Peppers,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2
Green Day,spotify:artist:7oPftvlwr6VrsViSDV7fJY
A$AP Rocky,spotify:artist:13ubrt8QOOCPljQ2FL1Kca
"Tyler, The Creator",spotify:artist:4V8LLVI7PbaPR0K2TGSxFF
